"query","answer","base_template","chosen_template","domains"
"Can you make a line chart of engaged users since Sunday if it is more than 10% higher than Sunday?","['analytics.create_plot.func(time_min=""2023-11-26"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","Can you make a line chart of {natural_language_metric} since {day_of_week} if it is more than {natural_language_growth_threshold} {higher_or_lower} than {day_of_week}?","['analytics']"
"Is average session duration more than 5% higher than it was on Sunday? If so, please plot it as a line chart since then","[]","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}? If so, please plot it as a line chart since then","['analytics']"
"Can you make a line chart of engaged users since Sunday if it is more than 5% lower than Sunday?","[]","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","Can you make a line chart of {natural_language_metric} since {day_of_week} if it is more than {natural_language_growth_threshold} {higher_or_lower} than {day_of_week}?","['analytics']"
"Is total visits more than 3% higher than it was on Wednesday? If so, please plot it as a line chart since then","[]","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}? If so, please plot it as a line chart since then","['analytics']"
"Is engaged users more than 2% lower than it was on Sunday? If so, please plot it as a line chart since then","[]","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}? If so, please plot it as a line chart since then","['analytics']"
"Is total visits more than 2% lower than it was on Saturday? If so, please plot it as a line chart since then","['analytics.create_plot.func(time_min=""2023-11-25"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}? If so, please plot it as a line chart since then","['analytics']"
"Is engaged users more than 3% lower than it was on Sunday? If so, please plot it as a line chart since then","[]","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}? If so, please plot it as a line chart since then","['analytics']"
"Can you make a line chart of average session duration since Wednesday if it is more than 3% higher than Wednesday?","[]","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","Can you make a line chart of {natural_language_metric} since {day_of_week} if it is more than {natural_language_growth_threshold} {higher_or_lower} than {day_of_week}?","['analytics']"
"If average session duration is more than 10% lower than it was on Saturday, make a line plot of it since then","[]","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","['analytics']"
"Is average session duration more than 10% lower than it was on Wednesday? If so, please plot it as a line chart since then","[]","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than it was on {day_of_week}? If so, please plot it as a line chart since then","['analytics']"
"If average session duration on monday was more than 2% lower than it was the previous monday, make a line plot of it over that period.","['analytics.create_plot.func(time_min=""2023-11-20"", time_max=""2023-11-27"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","['analytics']"
"make a line chart of engaged users over the period from friday to the previous friday if it was more than 3% higher on friday than it was the previous friday","['analytics.create_plot.func(time_min=""2023-11-17"", time_max=""2023-11-24"", value_to_plot=""user_engaged"", plot_type=""line"")']","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","make a line chart of {natural_language_metric} over the period from {day_of_week} to the previous {day_of_week} if it was more than {natural_language_growth_threshold} {higher_or_lower} on {day_of_week} than it was the previous {day_of_week}","['analytics']"
"make a line chart of total visits over the period from tuesday to the previous tuesday if it was more than 2% lower on tuesday than it was the previous tuesday","[]","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","make a line chart of {natural_language_metric} over the period from {day_of_week} to the previous {day_of_week} if it was more than {natural_language_growth_threshold} {higher_or_lower} on {day_of_week} than it was the previous {day_of_week}","['analytics']"
"Was total visits on monday more than 5% higher than it was the previous monday? If so, please plot it as a line chart","[]","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","Was {natural_language_metric} on {day_of_week} more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}? If so, please plot it as a line chart","['analytics']"
"If average session duration on saturday was more than 3% higher than it was the previous saturday, make a line plot of it over that period.","['analytics.create_plot.func(time_min=""2023-11-18"", time_max=""2023-11-25"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","['analytics']"
"make a line chart of engaged users over the period from friday to the previous friday if it was more than 2% lower on friday than it was the previous friday","[]","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","make a line chart of {natural_language_metric} over the period from {day_of_week} to the previous {day_of_week} if it was more than {natural_language_growth_threshold} {higher_or_lower} on {day_of_week} than it was the previous {day_of_week}","['analytics']"
"Was engaged users on monday more than 10% higher than it was the previous monday? If so, please plot it as a line chart","[]","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","Was {natural_language_metric} on {day_of_week} more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}? If so, please plot it as a line chart","['analytics']"
"Was average session duration on monday more than 3% lower than it was the previous monday? If so, please plot it as a line chart","['analytics.create_plot.func(time_min=""2023-11-20"", time_max=""2023-11-27"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","Was {natural_language_metric} on {day_of_week} more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}? If so, please plot it as a line chart","['analytics']"
"If average session duration on sunday was more than 2% lower than it was the previous sunday, make a line plot of it over that period.","[]","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","['analytics']"
"If engaged users on sunday was more than 2% lower than it was the previous sunday, make a line plot of it over that period.","['analytics.create_plot.func(time_min=""2023-11-19"", time_max=""2023-11-26"", value_to_plot=""user_engaged"", plot_type=""line"")']","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","If {natural_language_metric} on {day_of_week} was more than {natural_language_growth_threshold} {higher_or_lower} than it was the previous {day_of_week}, make a line plot of it over that period.","['analytics']"
"if total visits grew by more than engaged users since Saturday, make a line plot of both since then","['analytics.create_plot.func(time_min=""2023-11-25"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")', 'analytics.create_plot.func(time_min=""2023-11-25"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","if {natural_language_metric} grew by more than {natural_language_metric_2} since {day_of_week}, make a line plot of both since then","['analytics']"
"if engaged users grew by more than total visits since Tuesday, make a line plot of both since then","['analytics.create_plot.func(time_min=""2023-11-28"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")', 'analytics.create_plot.func(time_min=""2023-11-28"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","if {natural_language_metric} grew by more than {natural_language_metric_2} since {day_of_week}, make a line plot of both since then","['analytics']"
"Can you check the percent growth of average session duration since Sunday? If it grew by more than total visits, plot both lines since then","[]","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","['analytics']"
"if average session duration grew by more than total visits since Friday, make a line plot of both since then","[]","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","if {natural_language_metric} grew by more than {natural_language_metric_2} since {day_of_week}, make a line plot of both since then","['analytics']"
"Check the percent growth of average session duration since Friday. If it grew by more than engaged users, plot both lines since then","[]","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","Check the percent growth of {natural_language_metric} since {day_of_week}. If it grew by more than {natural_language_metric_2}, plot both lines since then","['analytics']"
"Can you check the percent growth of average session duration since Monday? If it grew by more than engaged users, plot both lines since then","[]","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","['analytics']"
"if engaged users grew by more than total visits since Monday, make a line plot of both since then","[]","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","if {natural_language_metric} grew by more than {natural_language_metric_2} since {day_of_week}, make a line plot of both since then","['analytics']"
"Check the percent growth of engaged users since Tuesday. If it grew by more than average session duration, plot both lines since then","[]","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","Check the percent growth of {natural_language_metric} since {day_of_week}. If it grew by more than {natural_language_metric_2}, plot both lines since then","['analytics']"
"Can you check the percent growth of average session duration since Wednesday? If it grew by more than total visits, plot both lines since then","[]","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","['analytics']"
"if average session duration grew by more than total visits since Wednesday, make a line plot of both since then","[]","Can you check the percent growth of {natural_language_metric} since {day_of_week}? If it grew by more than {natural_language_metric_2}, plot both lines since then","if {natural_language_metric} grew by more than {natural_language_metric_2} since {day_of_week}, make a line plot of both since then","['analytics']"
"Can you make a line plot of the most popular traffic source since September 28?","['analytics.create_plot.func(time_min=""2023-09-28"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""line"")']","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","['analytics']"
"Can you make a line plot of the most popular traffic source since November 29?","['analytics.create_plot.func(time_min=""2023-11-29"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""line"")']","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","['analytics']"
"Can you make a line plot of the most popular traffic source since November 27?","['analytics.create_plot.func(time_min=""2023-11-27"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""line"")']","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","['analytics']"
"Make a line plot of the most popular traffic source since October 20","['analytics.create_plot.func(time_min=""2023-10-20"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""line"")']","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","Make a line plot of the {most_or_least} popular traffic source since {natural_language_date}","['analytics']"
"Can you make a line plot of the most popular traffic source since October 15?","['analytics.create_plot.func(time_min=""2023-10-15"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""line"")']","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","['analytics']"
"Can you make a line plot of the most popular traffic source since November 24?","['analytics.create_plot.func(time_min=""2023-11-24"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""line"")']","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","['analytics']"
"Make a line plot of the most popular traffic source since November 16","['analytics.create_plot.func(time_min=""2023-11-16"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""line"")']","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","Make a line plot of the {most_or_least} popular traffic source since {natural_language_date}","['analytics']"
"Make a line plot of the most popular traffic source since October 13","['analytics.create_plot.func(time_min=""2023-10-13"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""line"")']","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","Make a line plot of the {most_or_least} popular traffic source since {natural_language_date}","['analytics']"
"plot the most popular traffic source since September 28","['analytics.create_plot.func(time_min=""2023-09-28"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""line"")']","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","plot the {most_or_least} popular traffic source since {natural_language_date}","['analytics']"
"plot the most popular traffic source since October 27","['analytics.create_plot.func(time_min=""2023-10-27"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""line"")']","Can you make a line plot of the {most_or_least} popular traffic source since {natural_language_date}?","plot the {most_or_least} popular traffic source since {natural_language_date}","['analytics']"
"Make bar charts of social media and search engine over the last 6 weeks if we got more traffic from social media than search engine","['analytics.create_plot.func(time_min=""2023-10-19"", time_max=""2023-11-29"", value_to_plot=""social media"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-10-19"", time_max=""2023-11-29"", value_to_plot=""search engine"", plot_type=""bar"")']","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","Make bar charts of {traffic_source_1} and {traffic_source_2} over the last {n_weeks} weeks if we got more traffic from {traffic_source_1} than {traffic_source_2}","['analytics']"
"did we get more traffic from referral than direct during the last 3 weeks? If so, make bar charts of both over that period","[]","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","did we get more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks? If so, make bar charts of both over that period","['analytics']"
"did we get more traffic from direct than social media during the last 6 weeks? If so, make bar charts of both over that period","['analytics.create_plot.func(time_min=""2023-10-19"", time_max=""2023-11-29"", value_to_plot=""direct"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-10-19"", time_max=""2023-11-29"", value_to_plot=""social media"", plot_type=""bar"")']","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","did we get more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks? If so, make bar charts of both over that period","['analytics']"
"Make bar charts of referral and social media over the last 4 weeks if we got more traffic from referral than social media","[]","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","Make bar charts of {traffic_source_1} and {traffic_source_2} over the last {n_weeks} weeks if we got more traffic from {traffic_source_1} than {traffic_source_2}","['analytics']"
"did we get more traffic from search engine than direct during the last 5 weeks? If so, make bar charts of both over that period","[]","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","did we get more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks? If so, make bar charts of both over that period","['analytics']"
"If we got more traffic from referral than social media during the last 6 weeks, make bar charts of both over that period","[]","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","['analytics']"
"did we get more traffic from social media than search engine during the last 5 weeks? If so, make bar charts of both over that period","['analytics.create_plot.func(time_min=""2023-10-26"", time_max=""2023-11-29"", value_to_plot=""social media"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-10-26"", time_max=""2023-11-29"", value_to_plot=""search engine"", plot_type=""bar"")']","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","did we get more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks? If so, make bar charts of both over that period","['analytics']"
"If we got more traffic from search engine than social media during the last 5 weeks, make bar charts of both over that period","[]","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","['analytics']"
"If we got more traffic from referral than search engine during the last 5 weeks, make bar charts of both over that period","[]","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","['analytics']"
"Make bar charts of social media and search engine over the last 4 weeks if we got more traffic from social media than search engine","['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""social media"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""search engine"", plot_type=""bar"")']","If we got more traffic from {traffic_source_1} than {traffic_source_2} during the last {n_weeks} weeks, make bar charts of both over that period","Make bar charts of {traffic_source_1} and {traffic_source_2} over the last {n_weeks} weeks if we got more traffic from {traffic_source_1} than {traffic_source_2}","['analytics']"
